Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2024-2025,Odd,MTH101A,8,8,,,NANDINI  NILAKANTAN,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,MATHEMATICS I,AgACAgUAAyEGAASewoS2AAMCaCGn0LCcLjjetzws-Cxb27LBkI4AAq7CMRuwKRBVYlm_rJZl4TkBAAMCAAN3AAM2BA
2024-2025,Odd,AE441A,69,64,5,5,SATHESH  MARIAPPAN,2,,,10,11,23,12,5,1,,,,,,,,,,,,,,,,,,,ROCKET PROPULSION,AgACAgUAAyEGAASewoS2AAMDaCGn1wZVQ2XxYLlId47pQLB69UYAAq_CMRuwKRBVEu53F6kup-EBAAMCAAN3AAM2BA
2024-2025,Odd,AE209,83,83,,,SANJAY  KUMAR,,4,7,,5,12,22,15,14,4,,,,,,,,,,,,,,,,,,DYNAMICS,AgACAgUAAyEGAASewoS2AAMEaCGn3vCfSxu-QCKKCeoF4ouCNWcAArDCMRuwKRBVZJJJcUMzoyUBAAMCAAN3AAM2BA
2024-2025,Odd,ES457A,36,34,2,2,Anupam  Banerjee,2,1,1,,2,4,14,8,2,,,,,,,,,,,,,,,,,,,VOLCANOLOGY,AgACAgUAAyEGAASewoS2AAMFaCGn5OinIv9OK7XoLPVUaeO0JZoAArHCMRuwKRBV9pp7ku_GpR8BAAMCAAN3AAM2BA
2024-2025,Odd,ES452A,22,22,,,JAVED N  MALIK,1,,,,5,5,5,6,,,,,,,,,,,,,,,,,,,,ENGINEERING GEOLOGY,AgACAgUAAyEGAASewoS2AAMGaCGn64pU0rXz9bDZumVf7agcgUQAArLCMRuwKRBVSdqJBOolpD0BAAMCAAN3AAM2BA
2024-2025,Odd,ESO204,0,0,0,0,ARUN KUMAR SAHA,16,10,11,4,30,48,44,31,36,20,,,,,,,,,,,,,,,,,,FLUID MECHANICS AND RATE PROCESSES,AgACAgUAAyEGAASewoS2AAMHaCGn8Ut3lUVlsH1L_--0dCfUwl8AArPCMRuwKRBVzGcl6SoqJZ0BAAMCAAN3AAM2BA
2024-2025,Odd,MSE693,92,84,8,8,VIVEK  VERMA,,2,2,4,11,19,35,7,4,,,,,,,,,,,,,,,,,,,MATERIALS SCIENCE TECHNOLOGIES FOR APPLICATIONS IN LIFE SCIENCES,AgACAgUAAyEGAASewoS2AAMIaCGn-Czb2VHbrQW6jf5sZOMtzfkAArTCMRuwKRBVcBsDDttRhTYBAAMCAAN3AAM2BA
2024-2025,Odd,MSE694,61,57,4,4,MONICA KATIYAR,,1,,5,14,20,11,5,1,,,,,,,,,,,,,,,,,,,NANOSTRUCTURES AND NANOMATERIALS: CHARACTERIZATION AND PROPERTIES,AgACAgUAAyEGAASewoS2AAMJaCGn_uQxv3k-4MYO6c1iUS7aqr4AArXCMRuwKRBV2IofxCdVCawBAAMCAAN3AAM2BA
2024-2025,Odd,MSE642,34,32,2,2,NILESH PRAKASH  GURAO,2,1,,1,4,6,12,2,4,,,,,,,,,,,,,,,,,,,MICROSCOPY AND MICROANALYSIS OF MATERIALS,AgACAgUAAyEGAASewoS2AAMKaCGoBKCfjmTU5uq68StH79pQvZIAArbCMRuwKRBVtYCcJcdvSIsBAAMCAAN3AAM2BA
2024-2025,Odd,PHI481,66,65,1,1,PRASHANT BHALCHANDRA  BAGAD,9,12,5,2,8,9,10,,10,,,,,,,,,,,,,,,,,,,EXISTENTIALISM,AgACAgUAAyEGAASewoS2AAMLaCGoClT1lECslOu8VJISP1dBKl4AArfCMRuwKRBVHCstd04h6loBAAMCAAN3AAM2BA
2024-2025,Odd,EE380,200,200,,,YATINDRA NATH  SINGH,5,1,,8,65,58,39,20,4,,,,,,,,,,,,,,,,,,,ELECTRICAL ENGINEERING LAB I,AgACAgUAAyEGAASewoS2AAMMaCGoEQm8nZEPwuuMm6nRHRlB5UUAArjCMRuwKRBVeS3fqXTu9tEBAAMCAAN3AAM2BA
2024-2025,Odd,EE370,276,275,1,,SHUBHAM   SAHAY,14,10,1,7,37,62,61,50,33,,,,,,,,,,,,,,,,,,,DIGITAL ELECTRONICS & MICROPROCESSOR TECHNOLOGY,AgACAgUAAyEGAASewoS2AAMNaCGoF1OwkvdqAUACC7oDWPKliy4AArnCMRuwKRBV-nWcvo2PtsMBAAMCAAN3AAM2BA
2024-2025,Odd,EE634,2,2,,,NANDINI  GUPTA,,,,,,,,2,,,,,,,,,,,,,,,,,,,,ELECTRICAL INSULATION IN POWER APPARATUS AND SYSTEMS,AgACAgUAAyEGAASewoS2AAMOaCGoHcPJb1jOQz9ftQwEfpyQivUAArrCMRuwKRBVEO_gh_x8RQoBAAMCAAN3AAM2BA
2024-2025,Odd,ES682,10,8,2,2,DIBAKAR  GHOSAL,1,2,,,1,,2,2,,,,,,,,,,,,,,,,,,,,SEISMIC EXPLORATION AND SUBSURFACE IMAGING,AgACAgUAAyEGAASewoS2AAMPaCGoJGT-l0GjqIwXM1v8Wfm8AAHYAAK7wjEbsCkQVVLGBoDt9xIIAQADAgADdwADNgQ
2024-2025,Odd,TA111,619,618,1,1,"ABHIJIT KUSHARI  ,ALAKESH CHANDRA  MANDAL",49,14,9,11,51,67,130,164,122,,,,,,,,,,,,,,,,,,,ENGINEERING GRAPHICS,AgACAgUAAyEGAASewoS2AAMQaCGoKs2O9ve31C7kxoro6YVmuIkAArzCMRuwKRBV8eFKQpoCsy0BAAMCAAN3AAM2BA
2024-2025,Odd,ME698L,10,10,,,JISHNU  BHATTACHARYA,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,ADVANCED THERMODYNAMICS,AgACAgUAAyEGAASewoS2AAMRaCGoMMcT5ANcRcz8-CiVLX4AAVG6AAK9wjEbsCkQVUJ5yeEEH_C_AQADAgADdwADNgQ
